cell_id,x,y,z
0,-2479654.1373130027,-4663551.16095009,3562617.9880121285
1,-2435396.3118750965,-4686815.430075906,3562617.9880121285
2,-2446229.7262165193,-4653694.797734571,3598433.8059929414
3,-2490173.535366428,-4630329.459946432,3598433.8059929414
4,-2523689.7524242606,-4639868.9749820735,3562617.9880121285
5,-2513110.8379527084,-4672980.008748979,3526637.598903099
6,-2468762.2568329144,-4696560.567611178,3526637.598903099
7,-2390920.242206336,-4709659.697568437,3562617.9880121285
8,-2390837.134344353,-4654779.978763933,3634083.398374138
9,-2456690.4041325715,-4620362.660214501,3634083.398374138
10,-2522048.33549256,-4585013.745573799,3634083.398374138
11,-2567499.211026106,-4615770.994413907,3562617.9880121285
12,-2568727.2954579964,-4669874.7968307,3490494.3007394345
13,-2502159.6964566535,-4705877.961648971,3490494.3007394345
14,-2435087.591128776,-4740932.288066999,3490494.3007394345
15,-2412842.4442800344,-4643411.482169357,3634083.398374138
16,-2500318.2115174877,-4596899.791687379,3634083.398374138
17,-2546594.982685508,-4681980.834077232,3490494.3007394345
18,-2457500.183100673,-4729353.379328477,3490494.3007394345
